,word,count
7928,applesupport,52878
34439,the,37816
24828,my,37021
34823,to,32773
20856,it,27748
458,115858,24558
7506,and,23010
20790,is,20366
34513,this,17345
26410,on,15396
27553,phone,14708
20595,iphone,13695
20463,ios,10800
407,11,10746
36197,update,10630
11302,co,10602
19231,https,10597
10481,can,9985
19956,in,9807
16288,fix,9792
38001,with,9743
39223,you,9718
26167,of,9106
16574,for,8865
18497,have,8152
25573,not,7921
34426,that,7425
23822,me,7413
37872,why,6672
7309,all,6671
37795,when,6520
10214,but,6258
36185,up,6238
7818,apple,6169
25237,new,6036
37739,what,5874
8994,battery,5716
13781,do,5481
32550,so,5449
25710,now,5425
21516,just,5420
7487,an,4931
27822,please,4924
18685,help,4664
18456,has,4373
25469,no,4369
17449,get,4176
32198,since,4046
16831,from,3987
39239,your,3910
19153,how,3892
8063,are,3789
26592,or,3667
7032,after,3608
9081,be,3482
33206,still,3464
7781,app,3414
22772,like,3359
26746,out,3344
34673,time,3302
36199,updated,3276
9145,been,3247
8306,at,3112
37496,was,3105
26174,off,3056
36683,ve,3046
31466,screen,2985
7659,any,2945
8186,as,2938
20466,ios11,2882
31946,shit,2791
38142,work,2785
8001,apps,2778
34464,there,2740
20836,issue,2732
34410,thanks,2694
19631,if,2644
7473,amp,2642
18755,hey,2624
28452,problem,2584
13859,don,2479
8783,back,2476
15387,every,2464
15374,even,2460
13813,does,2397
38156,working,2391
25118,need,2340
24761,music,2264
7426,am,2255
13815,doesn,2245
17742,going,2243
26424,one,2154
37940,will,2075
38109,won,2029
26439,only,2014
21804,keeps,1991
18297,had,1954
36348,use,1937
17804,got,1890
22632,letter,1785
5336,6s,1764
29253,question,1745
6633,about,1743
13343,did,1737
34478,they,1717
29680,really,1703
17476,getting,1699
38330,wtf,1644
35469,type,1640
22422,last,1638
39057,yes,1638
18504,having,1636
212,10,1625
27915,plus,1610
15380,ever,1571
18798,hi,1570
37920,wifi,1528
31233,same,1526
34459,then,1505
22443,latest,1504
35179,tried,1496
22037,know,1472
22730,life,1451
37459,want,1451
7052,again,1440
21799,keep,1425
37590,we,1417
32404,slow,1415
10077,bug,1401
20839,issues,1395
23519,make,1390
12670,day,1390
17718,go,1387
34703,times,1383
31572,see,1363
36369,using,1362
20568,ipad,1360
9122,because,1347
17660,glitch,1340
34473,these,1322
36212,updates,1315
7387,also,1307
33260,store,1301
9155,before,1277
35337,turn,1273
16770,freezing,1266
13965,down,1254
20910,itunes,1240
7602,annoying,1226
34405,thank,1222
32652,some,1221
20892,its,1219
7382,already,1218
32587,software,1216
10282,by,1207
20382,into,1202
25222,never,1185
37552,way,1175
16917,fucking,1173
37524,watch,1156
38214,would,1138
35266,trying,1132
19536,icloud,1123
36800,very,1121
23654,mark,1114
16293,fixed,1113
13345,didn,1095
34897,too,1094
34403,than,1092
33246,stop,1083
21846,keyboard,1078
34455,them,1075
25617,nothing,1068
34495,thing,1063
18100,guys,1028
24527,more,1027
26709,other,1025
23394,macbook,1020
36222,updating,1019
34354,text,1014
19141,hours,1001
26803,over,991
26496,open,982
27581,photos,978
26330,old,973
18406,happening,970
7670,anyone,957
38009,without,948
9816,box,934
