,word,count
0,phone,13428
1,iphone,12631
2,ios,11168
3,11,10308
4,update,9697
5,fix,7179
6,new,5790
7,apple,5642
8,battery,5445
9,please,4239
10,since,3956
11,help,3845
12,get,3821
13,time,3170
14,app,3109
15,like,3100
16,updated,2980
17,still,2966
18,screen,2870
19,apps,2597
20,work,2478
21,every,2397
22,back,2336
23,even,2328
24,hey,2301
25,issue,2295
26,shit,2167
27,thanks,2155
28,working,2119
29,music,2084
30,problem,2041
31,need,1966
32,one,1962
33,going,1890
34,keeps,1845
35,use,1824
36,got,1723
37,10,1591
38,last,1570
39,really,1567
40,6s,1566
41,getting,1566
42,ever,1528
43,hi,1445
44,question,1439
45,cannot,1437
46,wifi,1397
47,life,1392
48,plus,1384
49,latest,1382
50,type,1357
51,slow,1352
52,tried,1349
53,letter,1340
54,day,1339
55,want,1331
56,times,1319
57,know,1316
58,make,1312
59,go,1308
60,issues,1301
61,using,1275
62,updates,1239
63,keep,1238
64,ipad,1234
65,freezing,1208
66,also,1198
67,store,1185
68,wtf,1178
69,ios11,1175
70,way,1167
71,turn,1165
72,see,1164
73,itunes,1142
74,would,1139
75,software,1133
76,am,1125
77,never,1118
78,bug,1116
79,watch,1097
80,trying,1089
81,already,1029
82,yes,1028
83,annoying,1007
84,nothing,969
85,fucking,961
86,updating,961
87,mark,959
88,hours,958
89,stop,947
90,old,946
91,open,943
92,macbook,933
93,glitch,920
94,icloud,917
95,text,915
96,keyboard,914
97,guys,910
98,anyone,899
99,without,889
100,photos,884
101,call,878
102,reset,867
103,charge,864
104,try,861
105,fixed,851
106,freezes,849
107,download,849
108,everything,848
109,anything,835
110,thing,834
111,dear,819
112,bluetooth,817
113,today,812
114,minutes,810
115,box,808
116,id,805
117,else,803
118,email,801
119,much,795
120,days,787
121,says,782
122,upgrade,781
123,let,778
124,thank,777
125,calls,773
126,right,756
127,problems,751
128,could,747
129,crashing,737
130,send,730
131,come,724
132,something,720
133,messages,719
134,done,718
135,support,717
136,have,715
137,restart,711
138,message,711
139,mac,708
140,happening,702
141,works,700
142,many,695
143,phones,684
144,together,677
145,settings,671
146,service,667
147,sierra,667
148,pro,666
149,fuck,666
150,account,662
151,able,661
152,randomly,654
153,change,639
154,ago,639
155,home,638
156,version,638
157,well,633
158,turning,629
159,high,627
160,used,626
161,running,622
162,buy,616
163,fine,616
164,think,615
165,wrong,612
166,two,606
167,notifications,605
168,seems,605
169,take,604
170,sucks,601
171,happens,596
172,button,595
173,first,594
174,turned,593
175,lock,587
176,touch,586
177,draining,585
178,error,582
179,good,581
180,happened,579
181,camera,576
182,damn,574
183,another,570
184,always,570
185,gone,568
186,started,566
187,worst,566
188,tell,565
189,stupid,564
190,pls,563
191,people,559
192,made,555
193,device,555
194,anymore,554
195,yet,547
196,making,541
197,play,539
198,password,533
199,weird,533
200,pay,531
201,control,530
202,os,529
203,went,527
204,fast,524
205,deleted,523
206,bought,521
207,bad,516
208,charging,516
209,someone,512
210,im,511
211,lost,508
212,longer,508
213,charger,506
214,is,503
215,show,502
216,constantly,501
217,mode,492
218,connect,491
219,seeing,480
220,hour,479
221,literally,478
222,downloaded,477
223,iphonex,477
224,tired,477
225,showing,476
226,week,475
227,bugs,474
228,stuck,471
229,restarting,465
230,find,464
231,ok,463
232,30,462
233,completely,462
234,hello,461
235,data,460
236,love,458
237,gonna,457
238,set,456
239,months,450
240,lot,445
241,us,444
242,next,440
243,order,440
244,goes,439
245,reason,437
246,hate,436
247,boxes,436
248,sometimes,435
249,android,435
250,night,435
251,yo,434
252,yesterday,434
253,cant,433
254,saying,431
255,hard,429
256,black,428
257,needs,427
258,customer,426
259,100,425
260,playing,425
261,hell,423
262,look,421
263,full,419
264,long,414
265,say,414
266,though,411
267,month,410
268,crashes,410
269,worked,410
270,sure,409
271,auto,409
272,soon,408
273,seriously,406
274,put,406
275,sound,404
276,drains,404
277,better,402
278,morning,402
279,card,401
280,iphones,401
281,asap,399
282,switch,396
283,half,396
284,computer,396
285,20,394
286,coming,394
287,imessage,393
288,year,393
289,upgraded,392
290,option,392
291,access,388
292,weeks,387
293,drain,387
294,stopped,386
295,terrible,385
296,shows,385
297,siri,385
298,marks,385
299,start,383
300,great,383
301,eye,374
302,restarted,373
303,came,372
304,number,372
305,comes,371
306,gets,370
307,worse,369
308,volume,368
309,typing,367
310,devices,367
311,makes,363
312,broken,362
313,left,361
314,date,358
315,video,357
316,instead,356
317,years,355
318,songs,355
319,power,355
320,storage,352
321,via,352
322,explain,352
323,delete,350
324,connected,349
325,seconds,349
326,sort,348
327,turns,347
328,recent,345
329,center,344
330,automatically,344
331,restore,343
332,mail,342
333,install,342
334,release,341
335,alarm,340
336,whole,340
337,check,340
338,freeze,340
339,contacts,340
340,twitter,339
341,actually,338
342,case,337
343,cause,337
344,notification,336
345,give,335
346,super,335
347,things,334
348,system,331
349,twice,329
350,installed,328
351,sent,326
352,bar,325
353,less,325
354,etc,323
355,library,322
356,almost,322
357,normal,322
358,either,321
359,backup,321
360,unable,320
361,add,319
362,available,316
363,videos,315
364,laptop,314
365,locked,313
366,properly,312
367,safari,310
368,pictures,310
369,5s,308
370,money,306
371,purchased,305
372,texts,299
373,autocorrect,296
374,crazy,296
375,photo,296
376,whenever,295
377,brand,294
378,happen,293
379,solution,293
380,ass,293
381,mine,291
382,useless,290
383,said,290
384,load,288
385,tv,287
386,charged,287
387,frustrating,287
388,different,287
389,changing,286
390,plz,285
391,air,285
392,crap,284
393,messed,283
394,away,283
395,changed,282
396,slower,282
397,random,280
398,looks,280
399,headphones,279
400,thought,279
401,glitches,279
402,multiple,278
403,fucked,277
404,15,276
405,beta,276
406,dies,276
407,takes,275
408,upgrading,274
409,sick,274
410,told,273
411,feature,273
412,idea,272
413,car,272
414,buggy,272
415,hear,270
416,correct,269
417,song,268
418,macos,266
419,se,266
420,second,266
421,possible,265
422,emails,264
423,mins,263
424,connection,263
425,horrible,263
426,suddenly,263
427,speaker,263
428,around,262
429,real,262
430,internet,262
431,network,262
432,ur,261
433,switching,261
434,click,261
435,acting,260
436,okay,260
437,care,259
438,stops,259
439,tweet,259
440,dying,259
441,past,257
442,point,257
443,purchase,256
444,receive,256
445,12,256
446,disappointed,256
447,contact,255
448,least,254
449,crash,254
450,address,254
451,ridiculous,253
452,close,251
453,free,250
454,everyone,250
455,later,250
456,glitching,249
457,brightness,249
458,wanna,246
459,podcast,246
460,little,245
461,received,244
462,seem,244
463,several,244
464,supposed,243
465,waiting,243
466,enough,242
467,newest,241
468,wait,239
469,took,239
470,bc,237
471,broke,236
472,awful,236
473,read,236
474,bullshit,235
475,it,235
476,live,233
